Distance_km,Day_of_Week,Month,Fare_price
37.454011884736246,Wednesday,February,57.780894219211916
95.07143064099162,Tuesday,June,148.76841444729246
73.1993941811405,Tuesday,February,116.26445363820416
59.86584841970366,Wednesday,February,91.22701553942365
15.601864044243651,Sunday,February,37.73166862208926
15.599452033620265,Saturday,November,30.768342654989333
5.8083612168199465,Wednesday,March,7.756024339216677
86.61761457749351,Friday,February,138.20918990940942
60.11150117432088,Friday,April,90.2938434103447
70.80725777960456,Tuesday,September,115.14630968811909
2.0584494295802447,Thursday,June,13.880652039407387
96.99098521619943,Saturday,January,146.3830662325406
83.24426408004217,Tuesday,August,134.68327676628488
21.233911067827616,Thursday,December,38.91477123642392
18.182496720710063,Thursday,July,36.384045881037544
18.34045098534338,Friday,October,41.99464139128481
30.42422429595377,Sunday,March,49.40939586391631
52.475643163223786,Monday,January,79.94478392304823
43.194501864211574,Sunday,May,65.34418064818973
29.122914019804192,Monday,April,44.60531960487909
61.18528947223795,Wednesday,October,96.39242566128641
13.949386065204184,Friday,August,27.629838971889498
29.214464853521815,Thursday,January,50.20515127693282
36.63618432936917,Saturday,October,64.09019273923387
45.606998421703594,Monday,January,73.47550709194492
78.51759613930136,Sunday,December,130.04406459473861
19.967378215835975,Thursday,April,33.62778315756418
51.42344384136116,Monday,August,95.73601159498983
59.24145688620425,Monday,May,96.9905220681314
4.645041271999773,Monday,February,7.681774125918246
60.75448519014384,Saturday,June,90.7772652949102
17.052412368729154,Friday,May,32.99098062930966
6.505159298527952,Saturday,February,13.640425021162674
94.88855372533332,Tuesday,November,150.90283305846043
96.56320330745594,Thursday,November,152.21099308405164
80.83973481164611,Friday,November,125.8954576541848
30.46137691733707,Friday,March,46.45809678566358
9.767211400638388,Friday,September,12.076580977528259
68.42330265121569,Sunday,July,105.40237921648843
44.01524937396013,Friday,July,75.30486803255756
12.203823484477883,Saturday,November,24.37620394736785
49.51769101112702,Friday,June,73.04784262313059
3.4388521115218396,Wednesday,August,11.02418279653867
90.9320402078782,Thursday,April,143.32464721046148
25.87799816000169,Friday,August,39.39771005899687
66.2522284353982,Thursday,April,105.14696818282493
31.171107608941096,Wednesday,August,52.04770500564164
52.00680211778108,Wednesday,September,77.29535168751849
54.67102793432797,Thursday,March,88.79547870323336
18.485445552552704,Monday,March,35.53209096067023
96.95846277645586,Tuesday,November,155.85295038056017
77.51328233611146,Sunday,February,126.5389337643417
93.9498941564189,Monday,October,139.03649439484292
89.48273504276489,Monday,March,134.53497736457172
59.78999788110851,Saturday,March,97.26017315770606
92.18742350231169,Sunday,May,145.8500650080286
8.84925020519195,Sunday,May,20.849113739318163
19.59828624191452,Monday,February,53.661086816145385
4.522728891053807,Friday,December,14.638545890046545
32.53303307632643,Saturday,October,59.47737781539264
